regime,metric,seed_mean,seed_sd,pooled_count,min,p05,median,p95,max
easy,step.step_rejected,0,0.0,300,False,0.0,0.0,0.0,False
easy,step.armijo_rhs,2.4796035289764404,0.6221787891046201,300,1.4374778270721436,1.6069736540317536,2.379954695701599,3.5652900815010073,4.765635013580322
easy,step.armijo_satisfied,1,0.0,300,True,1.0,1.0,1.0,True
easy,step.armijo_margin,0.5416416482130686,0.35575999298557126,300,0.013485550880432129,0.05911230444908142,0.44440585374832153,1.378883790969849,2.555722236633301
easy,representation_shift,0.7900945864121119,0.3435817512539239,300,0.08829491585493088,0.26547922343015673,0.6796530783176422,1.5313932418823242,1.899715542793274
easy,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
easy,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
easy,nonfinite_elements,0,0.0,300,0,0.0,0.0,0.0,0
easy,all_finite,1,0.0,300,True,1.0,1.0,1.0,True
easy,W0_only_metric_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
easy,training_runner_eval_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
hard,alignment.cosine,0.320918043552277,0.08190809224719976,300,-0.8999181985855103,-0.6270207613706589,0.4841502606868744,0.8348164498806,0.9308674931526184
hard,alignment.dot,2.645892295235147,0.8893173413849896,300,-4.844930648803711,-1.4862780153751374,1.5207549929618835,10.895497846603394,19.469709396362305
hard,alignment.gradient_norm,1.609137096653382,0.12007332933771767,300,0.1708996742963791,0.5291928827762604,1.585060477256775,2.806025815010071,3.578909397125244
hard,alignment.task_gradient_norm,3.0778245530525843,0.1084171908898757,300,0.43141281604766846,1.2930243134498596,2.8718409538269043,5.66100723743439,7.26249885559082
hard,raw_O1_alignment.cosine,0.320918043552277,0.08190809224719976,300,-0.8999181985855103,-0.6270207613706589,0.4841502606868744,0.8348164498806,0.9308674931526184
hard,raw_O1_alignment.dot,2.645892295235147,0.8893173413849896,300,-4.844930648803711,-1.4862780153751374,1.5207549929618835,10.895497846603394,19.469709396362305
hard,raw_O1_alignment.gradient_norm,1.609137096653382,0.12007332933771767,300,0.1708996742963791,0.5291928827762604,1.585060477256775,2.806025815010071,3.578909397125244
hard,raw_O1_alignment.task_gradient_norm,3.0778245530525843,0.1084171908898757,300,0.43141281604766846,1.2930243134498596,2.8718409538269043,5.66100723743439,7.26249885559082
hard,effective_direction.cosine,0.32091804512776434,0.08190808466516883,300,-0.899918258190155,-0.6270206451416015,0.4841504693031311,0.8348163366317749,0.9308673739433289
hard,effective_direction.dot,0.13229461736802478,0.04446586698110397,300,-0.24224655330181122,-0.07431390769779682,0.07603773847222328,0.5447749912738801,0.9734854698181152
hard,effective_direction.gradient_norm,0.08045685627808173,0.006003667078535984,300,0.008544979616999626,0.026459646224975587,0.07925302162766457,0.14030128493905067,0.17894548177719116
hard,effective_direction.task_gradient_norm,3.0778245530525843,0.1084171908898757,300,0.43141281604766846,1.2930243134498596,2.8718409538269043,5.66100723743439,7.26249885559082
hard,before.accuracy,0.2991666666666667,0.011614466553971955,300,0.0,0.0,0.25,0.75,1.0
hard,before.nll,1.469847587744395,0.05426133063266223,300,0.5146085023880005,0.7812193840742111,1.3858008980751038,2.4317232966423035,3.2935218811035156
hard,before.margin,-0.04978256673707316,0.006210138390425118,300,-0.3062138259410858,-0.1838030144572258,-0.03798417188227177,0.05655646082013846,0.22820812463760376
hard,before.query_nll,1.4698475903986643,0.054261326052891495,2400,0.08986106514930725,0.39461325109004974,1.425825834274292,2.8217460036277755,3.992187738418579
