method,regime,metric,seed_mean_average,seed_mean_std,pooled_count,pooled_min,pooled_p05,pooled_median,pooled_p95,pooled_max
O0,easy,after.accuracy,0.74875,0.1565047922588954,300,0.0,0.125,0.875,1.0,1.0
O0,easy,after.nll,0.586114249896879,0.2685930708770659,300,0.009207182563841343,0.06964002698659896,0.37149131298065186,1.7526729941368104,2.4640393257141113
O0,easy,after.margin,0.16220756214732926,0.04288813148222875,300,-0.21199633181095123,-0.09367424771189688,0.18337126821279526,0.38891845196485525,0.5238208770751953
O0,easy,after.query_nll,0.5861142489482396,0.26859307123918186,2400,0.0015507827047258615,0.008295052777975797,0.22467825561761856,2.375582337379454,4.610662460327148
O0,easy,after.update_norm,0.1792802416284879,0.023906554789923335,300,0.12774693965911865,0.14220428243279457,0.18251152336597443,0.21466598138213158,0.2332450896501541
O0,easy,after.accuracy_delta,-0.027083333333333334,0.07357323449008704,300,-1.0,-0.375,0.0,0.25,0.625
O0,easy,after.nll_delta,0.030194775460598372,0.08311289658521999,300,-0.9844532012939453,-0.3620945483446121,0.028475621715188026,0.45033098459243787,1.9910533875226974
O0,easy,after.margin_delta,-0.04498047708533705,0.0452207685249651,300,-0.4139000028371811,-0.1922855334356427,-0.03925090283155441,0.06787171997129919,0.18741652369499207
O0,easy,after.query_nll_delta,0.030194773684027797,0.08311289724535638,2400,-2.1715548038482666,-0.6283629268407822,0.017095486749894917,0.6286288797855364,3.8959263265132904
O0,easy,after.episode_nll_improves,0.39333333333333337,0.146401275039985,300,0.0,0.0,0.0,1.0,1.0
O0,easy,after.query_nll_improves_fraction,0.3175,0.10515613391524052,300,0.0,0.0,0.25,0.875,1.0
O0,easy,O1_inner_loss_before,2.257946434020996,0.39478798081646366,300,1.4929139614105225,1.6735691010951996,2.1997100114822388,3.0522119045257567,3.7511651515960693
O0,easy,O1_inner_loss_after,2.216799308458964,0.3850299597817315,300,1.41910982131958,1.6214069604873658,2.1238807439804077,3.049517107009888,3.5592470169067383
O0,easy,own_inner_loss_before,1.0548466688394547,0.2614969811569145,300,0.5884870290756226,0.6914496123790741,1.139473795890808,1.3160490453243257,1.4046721458435059
O0,easy,own_inner_loss_after,0.5284235235055288,0.24555416375454045,300,0.19222784042358398,0.24081912338733674,0.503050684928894,0.8757360368967056,0.9748079776763916
O0,easy,representation_shift,0.5283305384715399,0.07368636681213185,300,0.3720906674861908,0.42124891877174375,0.5296275615692139,0.6366477906703949,0.7006933689117432
O0,easy,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
O0,easy,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
O0,easy,nonfinite_elements,0,0.0,300,0,0.0,0.0,0.0,0
O0,easy,all_finite,1,0.0,300,True,1.0,1.0,1.0,True
O0,hard,alignment.cosine,-0.011156695628693949,0.025638355438980506,300,-0.4562091827392578,-0.151120363175869,-0.019883339293301105,0.16463485583662987,0.36941614747047424
O0,hard,alignment.dot,0.17601609501366816,0.8735212749856917,300,-4.500485897064209,-2.9317837834358214,-0.43225741386413574,5.766471552848817,11.306249618530273
O0,hard,alignment.gradient_norm,4.059844428698222,0.3470634360672528,300,3.319077253341675,3.4403053879737855,4.01811671257019,4.776200699806213,4.906098365783691
O0,hard,alignment.task_gradient_norm,6.292843859195709,0.07015576721268678,300,1.3823708295822144,2.731778728961945,5.981356382369995,11.131888628005983,18.448673248291016
O0,hard,raw_O1_alignment.cosine,0.2509101163689047,0.04570942723556213,300,-0.9105117321014404,-0.7916520297527313,0.3885921388864517,0.8513812929391861,0.9531872272491455
O0,hard,raw_O1_alignment.dot,10.176793862581253,3.8335770156604583,300,-26.016494750976562,-10.332283353805542,6.650680780410767,42.56042041778564,96.20990753173828
O0,hard,raw_O1_alignment.gradient_norm,3.681395233074824,0.5384922416774445,300,0.2728992700576782,1.643452650308609,3.2990230321884155,6.802678966522218,8.82278060913086
O0,hard,raw_O1_alignment.task_gradient_norm,6.292843859195709,0.07015576721268678,300,1.3823708295822144,2.731778728961945,5.981356382369995,11.131888628005983,18.448673248291016
O0,hard,effective_direction.cosine,-0.011156694110638151,0.025638353515261145,300,-0.4562092423439026,-0.151120388507843,-0.019883323460817337,0.16463484093546868,0.36941617727279663
O0,hard,effective_direction.dot,0.008800803780516921,0.04367606262874187,300,-0.2250242829322815,-0.14658916741609573,-0.021612889133393764,0.2883237570524216,0.5653122663497925
O0,hard,effective_direction.gradient_norm,0.2029922248919805,0.01735317125741693,300,0.1659538596868515,0.17201526686549187,0.20090585947036743,0.23881003484129906,0.2453049272298813
O0,hard,effective_direction.task_gradient_norm,6.292843859195709,0.07015576721268678,300,1.3823708295822144,2.731778728961945,5.981356382369995,11.131888628005983,18.448673248291016
O0,hard,before.accuracy,0.40541666666666665,0.02673169155390909,300,0.0,0.0,0.375,0.875,1.0
O0,hard,before.nll,1.3139047340552013,0.019502731901290673,300,0.41721266508102417,0.6950897604227066,1.2539527416229248,2.156795895099641,3.241307020187378
O0,hard,before.margin,-0.026497344012216976,0.0033169490258490356,300,-0.2938343286514282,-0.1467306323349476,-0.015470270998775959,0.06967137195169926,0.18176572024822235
O0,hard,before.query_nll,1.3139047283213585,0.01950272799400866,2400,0.11873169988393784,0.39196743816137314,1.2163022756576538,2.6910789608955383,4.187764644622803
O0,hard,after.accuracy,0.39416666666666667,0.013010412496663336,300,0.0,0.0,0.375,0.8812500000000014,1.0
O0,hard,after.nll,1.3026494975884757,0.016290142822113756,300,0.5642091631889343,0.7873261153697968,1.255169153213501,2.019678103923798,2.5539190769195557
O0,hard,after.margin,-0.022153662083049617,0.004723577654019597,300,-0.201008141040802,-0.11237431652843952,-0.013248920440673828,0.05067983046174051,0.17086856067180634
O0,hard,after.query_nll,1.3026494906346004,0.016290137125367286,2400,0.1504676640033722,0.53368381857872,1.242054522037506,2.3093546628952017,3.5596439838409424
O0,hard,after.update_norm,0.20299222499132155,0.017353170973090495,300,0.1659538596868515,0.17201528027653695,0.20090584456920624,0.23881004899740219,0.2453049272298813
O0,hard,after.accuracy_delta,-0.01125,0.021972994789058682,300,-0.5,-0.25,0.0,0.125,0.375
O0,hard,after.nll_delta,-0.011255236466725667,0.021483046509105232,300,-0.6893332004547119,-0.2709721624851226,0.01841878890991211,0.14624129831790927,0.20878326892852783
O0,hard,after.margin_delta,0.00434368192916736,0.0045037183956193804,300,-0.043379999697208405,-0.020444733276963233,0.0006441604346036911,0.04474862851202488,0.09282618761062622
O0,hard,after.query_nll_delta,-0.011255237686758238,0.021483035926106765,2400,-1.0002024173736572,-0.43276324272155764,0.03313946723937988,0.21429366767406446,0.39343275129795074
O0,hard,after.episode_nll_improves,0.43,0.0854400374531753,300,0.0,0.0,0.0,1.0,1.0
O0,hard,after.query_nll_improves_fraction,0.40541666666666665,0.054905221366763776,300,0.0,0.0,0.375,1.0,1.0
O0,hard,O1_inner_loss_before,1.6594242942333222,0.02456879257388049,300,1.4148855209350586,1.4686074256896973,1.6139700412750244,2.0056305646896364,2.3310861587524414
O0,hard,O1_inner_loss_after,1.5589482124646505,0.04892743692418177,300,1.4096416234970093,1.4288828492164611,1.5272358655929565,1.7923334121704102,1.9258785247802734
O0,hard,own_inner_loss_before,1.020542641480764,0.185700475558343,300,0.6734674572944641,0.7214366346597672,1.0603099465370178,1.2828831136226655,1.3357713222503662
O0,hard,own_inner_loss_after,0.3932525811592738,0.18177627995657708,300,0.11696761846542358,0.15369393229484557,0.3450339436531067,0.6838308036327363,0.7447553873062134
O0,hard,representation_shift,0.6014690104126931,0.05117748923875525,300,0.4831775724887848,0.5092243164777756,0.5962003469467163,0.7101885199546814,0.7438621520996094
O0,hard,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
O0,hard,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
O0,hard,nonfinite_elements,0,0.0,300,0,0.0,0.0,0.0,0
O0,hard,all_finite,1,0.0,300,True,1.0,1.0,1.0,True
