branch,regime,metric,seed_mean,seed_sd,count,mean,std,min,max,p05,p25,median,p75,p95
P_O0_resume,hard,alignment.task_gradient_norm,4.821046022772789,0.3905407473154369,300,4.821046022772789,2.3210329485639845,0.8881295323371887,14.433234214782715,1.8311568737030028,3.170640528202057,4.235719442367554,6.036868572235107,9.474055480957032
P_O0_resume,hard,raw_O1_alignment.cosine,0.11334458357499291,0.014547786522712342,300,0.11334458357499291,0.4719173441981604,-0.8712521195411682,0.8419050574302673,-0.6711399883031846,-0.25127357989549637,0.12453299760818481,0.5461169630289078,0.7596854537725449
P_O0_resume,hard,raw_O1_alignment.dot,1.9453175059954326,0.6071799866037523,300,1.9453175059954326,6.481866421102114,-19.238298416137695,31.113561630249023,-6.034963631629943,-1.1549043357372284,0.621746689081192,4.453506827354431,11.384250497818021
P_O0_resume,hard,raw_O1_alignment.gradient_norm,1.7922318962216377,0.2534879240867192,300,1.7922318962216377,0.8137676103910384,0.23227661848068237,4.9806928634643555,0.647100293636322,1.2127801179885864,1.7339348196983337,2.229531466960907,3.2906093716621414
P_O0_resume,hard,raw_O1_alignment.task_gradient_norm,4.821046022772789,0.3905407473154369,300,4.821046022772789,2.3210329485639845,0.8881295323371887,14.433234214782715,1.8311568737030028,3.170640528202057,4.235719442367554,6.036868572235107,9.474055480957032
P_O0_resume,hard,effective_direction.cosine,0.11334458057147762,0.014547781824822551,300,0.11334458057147762,0.4719173472233112,-0.8712520599365234,0.8419050574302673,-0.6711398720741272,-0.25127360969781876,0.12453297898173332,0.5461170375347137,0.7596853464841843
P_O0_resume,hard,effective_direction.dot,0.09464408282151755,0.027717721562152672,300,0.09464408282151757,0.3194654713943264,-0.9619150161743164,1.555678129196167,-0.30174819380044937,-0.057745219208300114,0.031087340787053108,0.2226753681898117,0.5608462899923324
P_O0_resume,hard,effective_direction.gradient_norm,0.0886013475432992,0.011711560575037257,300,0.0886013475432992,0.0400508483329201,0.011613832786679268,0.24903464317321777,0.03235501330345869,0.060639009810984135,0.08556604385375977,0.10955654829740524,0.16069170683622364
P_O0_resume,hard,effective_direction.task_gradient_norm,4.821046022772789,0.3905407473154369,300,4.821046022772789,2.3210329485639845,0.8881295323371887,14.433234214782715,1.8311568737030028,3.170640528202057,4.235719442367554,6.036868572235107,9.474055480957032
P_O0_resume,hard,before.accuracy,0.40875,0.021323402636539975,300,0.40875,0.3033682500699466,0.0,1.0,0.0,0.125,0.375,0.625,0.8812500000000014
P_O0_resume,hard,before.nll,1.2524597571293512,0.0706566216870387,300,1.2524597571293512,0.42813319835984104,0.41882050037384033,3.35581636428833,0.615986293554306,1.0061117708683014,1.2294950485229492,1.4527180194854736,1.9837636768817901
P_O0_resume,hard,before.margin,-0.017202989431874205,0.011291388011174226,300,-0.017202989431874205,0.06831981614734746,-0.31932297348976135,0.21511313319206238,-0.12951385527849196,-0.04976978711783886,-0.015253246761858463,0.02118035312741995,0.0961346495896578
P_O0_resume,hard,before.query_nll,1.2524597543571145,0.07065662479623999,2400,1.2524597543571145,0.6442438701626568,0.09102706611156464,4.331178188323975,0.34417772889137266,0.7828675657510757,1.2184517979621887,1.5996723473072052,2.4471105933189365
P_O0_resume,hard,after.accuracy,0.45375,0.020653389552322893,300,0.45375,0.2959391052452817,0.0,1.0,0.0,0.25,0.5,0.625,1.0
P_O0_resume,hard,after.nll,1.2203244883815447,0.03716330888587188,300,1.2203244883815447,0.37600371140975264,0.36004677414894104,2.9531784057617188,0.6806469649076462,0.9683338105678558,1.169721245765686,1.4377511739730835,1.848360949754715
P_O0_resume,hard,after.margin,-0.01145666847936809,0.007601193929906866,300,-0.01145666847936809,0.05833594661110927,-0.24510441720485687,0.15359902381896973,-0.10906454101204872,-0.04619941674172878,-0.0050422511994838715,0.02488923817873001,0.07887773774564273
P_O0_resume,hard,after.query_nll,1.2203244850349924,0.0371633170652306,2400,1.2203244850349924,0.5981444477348243,0.12750568985939026,4.022185325622559,0.4384788677096367,0.768941193819046,1.144187867641449,1.5558950006961823,2.3269837737083403
P_O0_resume,hard,after.update_norm,0.08860134735082587,0.011711560402611157,300,0.08860134735082587,0.04005084818357042,0.011613832786679268,0.24903465807437897,0.03235500976443291,0.06063901260495186,0.08556604385375977,0.10955654829740524,0.16069170683622364
P_O0_resume,hard,after.accuracy_delta,0.045,0.0075,300,0.045,0.24907017721368716,-0.875,1.0,-0.375,0.0,0.0,0.125,0.5
P_O0_resume,hard,after.nll_delta,-0.03213526874780655,0.03351031336666314,300,-0.03213526874780655,0.3026967804432618,-1.5226047039031982,1.0447086095809937,-0.4779323756694794,-0.1638849452137947,-0.0016055703163146973,0.09880316257476807,0.41284759640693697
P_O0_resume,hard,after.margin_delta,0.005746320952506115,0.0036992823903823414,300,0.005746320952506115,0.04995212408814619,-0.1874566338956356,0.22804808616638184,-0.06971266679465771,-0.016536278650164604,-0.0005400720983743668,0.024672098457813263,0.09218326583504681
P_O0_resume,hard,after.query_nll_delta,-0.03213526932212214,0.03351030843205063,2400,-0.032135269322122136,0.3990631341425597,-1.9043675661087036,1.992432177066803,-0.6859471797943115,-0.18995854258537292,-0.02811068296432495,0.1603892743587494,0.6005414605140681
P_O0_resume,hard,after.episode_nll_improves,0.5,0.010000000000000009,300,0.5,0.5008354224706334,0.0,1.0,0.0,0.0,0.5,1.0,1.0
P_O0_resume,hard,after.query_nll_improves_fraction,0.5570833333333334,0.028403711611923784,300,0.5570833333333334,0.330041666147676,0.0,1.0,0.0,0.375,0.5,0.875,1.0
P_O0_resume,hard,O1_inner_loss_before,1.6313150306542714,0.030940000912419368,300,1.6313150306542714,0.15721374534273258,1.3852161169052124,2.5812888145446777,1.4484703719615937,1.5265527367591858,1.6057897806167603,1.6931933760643005,1.9083474755287178
