branch,seed,step,split,regime,path,accuracy,nll,margin
P_O0_resume,17,400,train_seen_at_final,easy,before,1.0,0.009689919132797513,0.5965859121084214
P_O0_resume,17,400,train_seen_at_final,easy,after,0.77125,0.9297422555158846,0.2673547248542309
P_O0_resume,17,400,train_seen_at_final,easy,training_objective,1.0,0.010260459354612976,0.5743911421298981
P_O0_resume,17,400,train_seen_at_final,hard,before,0.7575,0.9097990664839745,0.04143559653311968
P_O0_resume,17,400,train_seen_at_final,hard,after,0.675,0.9833494552969932,0.03088914018124342
P_O0_resume,17,400,train_seen_at_final,hard,training_objective,0.76125,0.9587120857834815,0.03580869488418102
P_O0_resume,17,400,heldout,easy,before,0.68375,0.5733866421342827,0.2225476238876581
P_O0_resume,17,400,heldout,easy,after,0.68125,0.8511325776297599,0.10955701645463706
P_O0_resume,17,400,heldout,easy,training_objective,0.60875,0.7222653131838888,0.15628723541274667
P_O0_resume,17,400,heldout,hard,before,0.385,1.3273070353269576,-0.028655997775495053
P_O0_resume,17,400,heldout,hard,after,0.43,1.2600391176342964,-0.01904632756486535
P_O0_resume,17,400,heldout,hard,training_objective,0.38375,1.2922785025835037,-0.022801006734371184
P_C2_warm,17,0,train_seen_at_final,easy,before,1.0,0.01698675511725014,0.528818776011467
P_C2_warm,17,0,train_seen_at_final,easy,after,0.81375,1.0571858521114337,0.2587867883220315
P_C2_warm,17,0,train_seen_at_final,easy,training_objective,0.81375,1.0571858521114337,0.2587867883220315
P_C2_warm,17,0,train_seen_at_final,hard,before,0.505,1.1745581382513046,0.0015592167526483536
P_C2_warm,17,0,train_seen_at_final,hard,after,0.4275,1.334757115840912,-0.023264490142464636
P_C2_warm,17,0,train_seen_at_final,hard,training_objective,0.4275,1.334757115840912,-0.023264490142464636
P_C2_warm,17,0,heldout,easy,before,0.7175,0.7262714859424159,0.20867593789473177
P_C2_warm,17,0,heldout,easy,after,0.88875,0.30962498250417414,0.2201828347146511
P_C2_warm,17,0,heldout,easy,training_objective,0.88875,0.30962498250417414,0.2201828347146511
P_C2_warm,17,0,heldout,hard,before,0.42875,1.293194181919098,-0.022685653301887213
P_C2_warm,17,0,heldout,hard,after,0.4875,1.2091670197248459,-0.008759406432509421
P_C2_warm,17,0,heldout,hard,training_objective,0.4875,1.2091670197248459,-0.008759406432509421
P_C2_warm,17,50,train_seen_at_final,easy,before,0.99,0.07149908113744459,0.4391571987420321
P_C2_warm,17,50,train_seen_at_final,easy,after,0.7675,0.8406817642098758,0.22982827462255956
P_C2_warm,17,50,train_seen_at_final,easy,training_objective,0.7675,0.8406817642098758,0.22982827462255956
P_C2_warm,17,50,train_seen_at_final,hard,before,0.455,1.216497020125389,-0.00820520456880331
P_C2_warm,17,50,train_seen_at_final,hard,after,0.45375,1.2464638197422027,-0.00573826003819704
P_C2_warm,17,50,train_seen_at_final,hard,training_objective,0.45375,1.2464638197422027,-0.00573826003819704
P_C2_warm,17,50,heldout,easy,before,0.6,0.993031662949361,0.1465943936444819
P_C2_warm,17,50,heldout,easy,after,0.88375,0.4160804036259651,0.19835976671427488
P_C2_warm,17,50,heldout,easy,training_objective,0.88375,0.4160804036259651,0.19835976671427488
P_C2_warm,17,50,heldout,hard,before,0.39125,1.3253959840536118,-0.027956761405803263
P_C2_warm,17,50,heldout,hard,after,0.46375,1.1793185597658158,-0.002737977816723287
P_C2_warm,17,50,heldout,hard,training_objective,0.46375,1.1793185597658158,-0.002737977816723287
P_C2_warm,17,100,train_seen_at_final,easy,before,0.96875,0.11935480320593342,0.4253784838691354
P_C2_warm,17,100,train_seen_at_final,easy,after,0.895,0.3517194373044185,0.327469271030277
P_C2_warm,17,100,train_seen_at_final,easy,training_objective,0.895,0.3517194373044185,0.327469271030277
P_C2_warm,17,100,train_seen_at_final,hard,before,0.4425,1.2166279017925263,-0.008353531919419765
P_C2_warm,17,100,train_seen_at_final,hard,after,0.50125,1.2145127713680268,0.00020125286653637886
P_C2_warm,17,100,train_seen_at_final,hard,training_objective,0.50125,1.2145127713680268,0.00020125286653637886
P_C2_warm,17,100,heldout,easy,before,0.62625,0.8919744800589978,0.17403938902541996
P_C2_warm,17,100,heldout,easy,after,0.8525,0.39745627574622633,0.21528008576482535
P_C2_warm,17,100,heldout,easy,training_objective,0.8525,0.39745627574622633,0.21528008576482535
P_C2_warm,17,100,heldout,hard,before,0.39,1.3210065633058548,-0.0268426900729537
P_C2_warm,17,100,heldout,hard,after,0.4675,1.1762459886074066,-0.002300060521811247
P_C2_warm,17,100,heldout,hard,training_objective,0.4675,1.1762459886074066,-0.002300060521811247
P_C2_warm,17,200,train_seen_at_final,easy,before,0.9675,0.10164258148681256,0.449438758790493
P_C2_warm,17,200,train_seen_at_final,easy,after,0.9725,0.10729743411473464,0.42409013241529464
P_C2_warm,17,200,train_seen_at_final,easy,training_objective,0.9725,0.10729743411473464,0.42409013241529464
P_C2_warm,17,200,train_seen_at_final,hard,before,0.49625,1.1838658577203751,-0.002180189825594425
