state_id,seed,branch,step,regime,index,episode_seed,S0_nll,S0_accuracy,S1_nll,S1_accuracy,S2_nll,S2_accuracy,S3_nll,S3_accuracy,S2_diversity,S2_eligible_pairs,S2_teacher_diversity,S3_diversity,S3_eligible_pairs,S3_teacher_diversity
seed7_original_P,7,original_P,0,easy,15,3000700015,0.16011224663816392,1.0,0.12897458323277533,1.0,3.759026825428009,0.0,6.5804941058158875,0.0,0.6545570492744446,28,0.11122789233922958,0.5232898592948914,28,0.0
seed7_original_P,7,original_P,0,easy,16,3000700016,1.4494191035628319,0.375,0.5686395238153636,0.75,1.2485748790204525,0.5,2.33653898909688,0.25,0.8121663928031921,28,0.042019594460725784,1.00423002243042,28,-1.1920928955078125e-07
seed7_original_P,7,original_P,0,easy,17,3000700017,0.5881286149960943,0.625,0.05231557134538889,1.0,2.070564966648817,0.125,2.4135482385754585,0.375,0.42202427983283997,28,0.10930896550416946,0.39708560705184937,28,-1.1920928955078125e-07
seed7_original_P,7,original_P,0,easy,18,3000700018,0.007167347692302428,1.0,0.030806654831394553,1.0,6.827968746423721,0.0,9.682350873947144,0.0,0.5241430997848511,28,0.10811439901590347,0.5621916651725769,28,0.0
seed7_original_P,7,original_P,0,easy,19,3000700019,0.06310812337324023,1.0,1.0627128365449607,0.25,6.718253672122955,0.0,7.857974708080292,0.0,0.5367093086242676,28,0.05762939155101776,0.5143930912017822,28,0.0
seed7_original_P,7,original_P,0,easy,20,3000700020,0.13219507232133765,1.0,0.04620940762106329,1.0,2.961793139576912,0.0,4.279188275337219,0.0,0.639122724533081,28,0.05576399713754654,0.7307729125022888,28,-1.1920928955078125e-07
seed7_original_P,7,original_P,0,easy,21,3000700021,0.28278487763600424,1.0,0.25322529661934823,1.0,3.951611578464508,0.0,5.541468054056168,0.0,0.5349342823028564,28,0.15394674241542816,0.5861786007881165,28,0.0
seed7_original_P,7,original_P,0,easy,22,3000700022,0.305902068503201,0.75,0.3015904383501038,0.75,1.6190767884254456,0.25,3.752867355942726,0.125,0.6907784342765808,28,0.061159662902355194,0.5982936024665833,28,0.0
seed7_original_P,7,original_P,0,easy,23,3000700023,1.0892328172922134,0.375,0.22132655570749193,1.0,1.428590722149238,0.625,1.3299192730337381,0.625,0.3160591721534729,28,0.013189563527703285,0.48546016216278076,28,0.0
seed7_original_P,7,original_P,0,easy,24,3000700024,0.8695096492301673,0.625,0.21050867578014731,1.0,2.9512436501681805,0.125,3.9710193276405334,0.0,0.7356348633766174,28,0.07157385349273682,0.7220346927642822,28,5.960464477539063e-08
seed7_original_P,7,original_P,0,easy,25,3000700025,0.00583674167864956,1.0,0.014951726596336812,1.0,6.552810251712799,0.0,8.227736294269562,0.0,0.598836362361908,28,0.07354769855737686,0.6650876998901367,28,0.0
