scope,transition,nll_direction,count,fraction,delta_sum,mean_delta
branch/original_P/hard,correct->wrong,worsened,385,0.16041666666666668,385.1024801034944,1.0002661820869985
branch/original_P/hard,wrong->correct,worsened,19,0.007916666666666667,1.551453860807107,0.08165546635826877
branch/original_P/hard,correct->wrong,improved,9,0.00375,-0.5029719804288728,-0.05588577560320809
step/original_P/0/hard,wrong->wrong,worsened,308,0.12833333333333333,123.90065985747636,0.40227486966713105
step/original_P/0/hard,correct->correct,worsened,281,0.11708333333333333,83.66354165943136,0.297735023699044
step/original_P/0/hard,wrong->wrong,improved,588,0.245,-349.6444261548134,-0.5946333778143085
step/original_P/0/hard,wrong->correct,improved,512,0.21333333333333335,-369.65774703762713,-0.7219877871828655
step/original_P/0/hard,correct->correct,improved,298,0.12416666666666666,-62.91912109015352,-0.2111379902354145
step/original_P/0/hard,correct->wrong,worsened,385,0.16041666666666668,385.1024801034944,1.0002661820869985
step/original_P/0/hard,wrong->correct,worsened,19,0.007916666666666667,1.551453860807107,0.08165546635826877
step/original_P/0/hard,correct->wrong,improved,9,0.00375,-0.5029719804288728,-0.05588577560320809
state/seed7_original_P/hard,wrong->wrong,worsened,80,0.1,39.55186198409991,0.4943982748012488
state/seed7_original_P/hard,correct->correct,worsened,99,0.12375,33.252874075039635,0.3358876169195923
state/seed7_original_P/hard,wrong->wrong,improved,210,0.2625,-123.95237110226486,-0.5902493862012612
state/seed7_original_P/hard,wrong->correct,improved,170,0.2125,-116.10599646678173,-0.6829764498045984
state/seed7_original_P/hard,correct->correct,improved,109,0.13625,-18.81063869969666,-0.17257466696969412
state/seed7_original_P/hard,correct->wrong,worsened,118,0.1475,121.10102948923979,1.026279910925761
state/seed7_original_P/hard,wrong->correct,worsened,11,0.01375,1.0785293608717588,0.09804812371561444
state/seed7_original_P/hard,correct->wrong,improved,3,0.00375,-0.2740035791480302,-0.09133452638267674
branch/P_O0_resume/overall,correct->correct,improved,4043,0.21057291666666667,-620.1637789633402,-0.1533919809456691
branch/P_O0_resume/overall,wrong->correct,improved,2602,0.13552083333333334,-2306.6908331261557,-0.8865068536226578
branch/P_O0_resume/overall,correct->correct,worsened,5592,0.29125,981.3986094707739,0.17550046664355756
branch/P_O0_resume/overall,wrong->wrong,improved,3149,0.16401041666666666,-1766.5084545796767,-0.5609744219052641
branch/P_O0_resume/overall,wrong->correct,worsened,27,0.00140625,1.9471244614695078,0.07211572079516695
branch/P_O0_resume/overall,wrong->wrong,worsened,1817,0.09463541666666667,800.9430359803771,0.44080519316476446
branch/P_O0_resume/overall,correct->wrong,worsened,1936,0.10083333333333333,2172.266841123322,1.1220386576050216
branch/P_O0_resume/overall,correct->wrong,improved,34,0.0017708333333333332,-1.949858842024605,-0.05734878947131191
branch/P_O0_resume/easy,correct->correct,improved,2610,0.271875,-382.21699470281845,-0.1464432929895856
