scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
state/seed7_P_O0_resume_step50/hard,query_max_probability,800,313,291,0.01089008732826145,0.5609160866227998,0.569913380457605
state/seed7_P_O0_resume_step50/hard,query_probability_gap,800,313,291,0.03208851888831076,0.5751323549671655,0.5912745832742592
state/seed7_P_O0_resume_step50/hard,query_js,800,313,291,-0.232045136008025,0.43773904258320157,0.4519541719833377
state/seed7_P_O0_resume_step50/hard,representation_displacement,800,313,291,-0.2111661815096586,0.42700631761255914,0.43043768861523507
state/seed7_P_O0_resume_step50/hard,prediction_changed,800,313,291,-0.2066963604488343,0.4442698663657655,0.4475759355653225
state/seed7_P_O0_resume_step50/hard,delta_max_probability,800,313,291,-0.07462715566743074,0.3571123983966516,0.3495972832654825
state/seed7_P_O0_resume_step50/hard,delta_entropy,800,313,291,0.07096328275512931,0.6313413938109702,0.629588371512095
state/seed7_P_O0_resume_step50/hard,delta_probability_gap,800,313,291,-0.10669760421500658,0.35657445007905214,0.33961882000283555
step/P_O0_resume/100/easy,query_entropy,2400,1286,850,-0.4678867435567263,0.17288517971470135,0.35449715370018975
step/P_O0_resume/100/easy,query_max_probability,2400,1286,850,0.4775017529153445,0.8307937853028471,0.6492819734345351
step/P_O0_resume/100/easy,query_probability_gap,2400,1286,850,0.4805853282266195,0.8317162314219422,0.6501115749525617
step/P_O0_resume/100/easy,query_js,2400,1286,850,-0.03770939803982605,0.42491923797504405,0.6743013282732447
step/P_O0_resume/100/easy,representation_displacement,2400,1286,850,0.014563491243661674,0.4468527241303249,0.5750588235294117
step/P_O0_resume/100/easy,prediction_changed,2400,1286,850,-0.23244547073965444,0.4179898981155993,0.4796584440227704
step/P_O0_resume/100/easy,delta_max_probability,2400,1286,850,-0.5654838290770536,0.17681089819657073,0.11059278937381405
step/P_O0_resume/100/easy,delta_entropy,2400,1286,850,0.6372937477940535,0.8728134222716117,0.9193267552182163
