feature,analysis,held_seed,orientation_train_seeds,orientation_train_count,orientation_train_auroc,orientation,harm_threshold,overall,easy,hard
delta_max_probability,primary,17,"[7, 27]",28800,0.27606667603091367,-1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.6824469187129462}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.7240375458228825}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.6012845031568106}"
delta_max_probability,primary,27,"[7, 17]",28800,0.3138141588358168,-1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.7555217799024289}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.9055101701902356}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.5643681017224579}"
delta_max_probability,sensitivity_gt_005,7,"[17, 27]",28800,0.2570049686003382,-1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.7315447964769158}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.843937588515714}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.6101775573521331}"
delta_max_probability,sensitivity_gt_005,17,"[7, 27]",28800,0.24758579160948754,-1,0.05,"{""count"": 14400, ""harm_count"": 4999, ""auroc"": 0.7178210346888014}","{""count"": 7200, ""harm_count"": 2476, ""auroc"": 0.8134977665350276}","{""count"": 7200, ""harm_count"": 2523, ""auroc"": 0.6115797099864908}"
delta_max_probability,sensitivity_gt_005,27,"[7, 17]",28800,0.2737717559080755,-1,0.05,"{""count"": 14400, ""harm_count"": 6105, ""auroc"": 0.7712280322406905}","{""count"": 7200, ""harm_count"": 3186, ""auroc"": 0.9067030302916566}","{""count"": 7200, ""harm_count"": 2919, ""auroc"": 0.5854216616695631}"
delta_entropy,primary,7,"[17, 27]",28800,0.7554705372021446,1,0,"{""count"": 14400, ""harm_count"": 5783, ""auroc"": 0.7342665254538384}","{""count"": 7200, ""harm_count"": 3041, ""auroc"": 0.8507889966403688}","{""count"": 7200, ""harm_count"": 2742, ""auroc"": 0.5770495448400976}"
delta_entropy,primary,17,"[7, 27]",28800,0.7659466743395168,1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.7224854256390231}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.7703976075631873}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.60189752170682}"
delta_entropy,primary,27,"[7, 17]",28800,0.7295670903585644,1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.7953349998845005}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.928874431217629}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.5661534287679405}"
delta_entropy,sensitivity_gt_005,7,"[17, 27]",28800,0.7607371288827381,1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.7437743687061517}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.860751463964926}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.6052493270154293}"
delta_entropy,sensitivity_gt_005,17,"[7, 27]",28800,0.7706859172721556,1,0.05,"{""count"": 14400, ""harm_count"": 4999, ""auroc"": 0.7325885132350372}","{""count"": 7200, ""harm_count"": 2476, ""auroc"": 0.8532350873209227}","{""count"": 7200, ""harm_count"": 2523, ""auroc"": 0.6108313246589787}"
delta_entropy,sensitivity_gt_005,27,"[7, 17]",28800,0.7393236655311779,1,0.05,"{""count"": 14400, ""harm_count"": 6105, ""auroc"": 0.796517602593552}","{""count"": 7200, ""harm_count"": 3186, ""auroc"": 0.9183967225820738}","{""count"": 7200, ""harm_count"": 2919, ""auroc"": 0.5896991886918936}"
delta_probability_gap,primary,7,"[17, 27]",28800,0.28193504382397017,-1,0,"{""count"": 14400, ""harm_count"": 5783, ""auroc"": 0.6897801098572766}","{""count"": 7200, ""harm_count"": 3041, ""auroc"": 0.7962445440880539}","{""count"": 7200, ""harm_count"": 2742, ""auroc"": 0.5929753147866186}"
delta_probability_gap,primary,17,"[7, 27]",28800,0.2726314951705273,-1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.6787631614487684}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.7234271271464403}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.5787365044363227}"
delta_probability_gap,primary,27,"[7, 17]",28800,0.3140084100601293,-1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.7597553154438933}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.8977320602767667}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.5635795609486873}"
delta_probability_gap,sensitivity_gt_005,7,"[17, 27]",28800,0.2613583489658517,-1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.7277736574328978}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.8321334260260509}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.6181402141683673}"
delta_probability_gap,sensitivity_gt_005,17,"[7, 27]",28800,0.2501060920262841,-1,0.05,"{""count"": 14400, ""harm_count"": 4999, ""auroc"": 0.711050858187806}","{""count"": 7200, ""harm_count"": 2476, ""auroc"": 0.8107444507064603}","{""count"": 7200, ""harm_count"": 2523, ""auroc"": 0.589434843231028}"
delta_probability_gap,sensitivity_gt_005,27,"[7, 17]",28800,0.2786377668341781,-1,0.05,"{""count"": 14400, ""harm_count"": 6105, ""auroc"": 0.7697305393507925}","{""count"": 7200, ""harm_count"": 3186, ""auroc"": 0.9004658366151614}","{""count"": 7200, ""harm_count"": 2919, ""auroc"": 0.5799230472464555}"
