feature,analysis,held_seed,orientation,training_seeds,training_count,training_auroc,harm_threshold,overall_count,overall_harm_count,overall_auroc,easy_count,easy_harm_count,easy_auroc,hard_count,hard_harm_count,hard_auroc
query_probability_gap,primary,17,1,"[7, 27]",3600,0.589348689035441,0,1800,654,0.4700046965645698,900,272,0.6893557980517048,900,382,0.4709211829630678
query_probability_gap,primary,27,-1,"[7, 17]",3600,0.477158490472978,0,1800,964,0.33749056959637874,900,575,0.2785979933110368,900,389,0.4733498005322494
query_probability_gap,sensitivity_gt_005,7,1,"[17, 27]",3600,0.5558790561339005,0.05,1800,445,0.44092043617065385,900,153,0.627337235652851,900,292,0.48645345169430426
query_probability_gap,sensitivity_gt_005,17,1,"[7, 27]",3600,0.5700692286221313,0.05,1800,502,0.45940736284446193,900,207,0.6108078716774369,900,295,0.48472335060932903
query_probability_gap,sensitivity_gt_005,27,-1,"[7, 17]",3600,0.4513580887688262,0.05,1800,802,0.35216942613406366,900,490,0.3467844698855152,900,312,0.4628521280306995
assignment_entropy,primary,7,-1,"[17, 27]",3600,0.4510503368387178,0,1800,617,0.4697360363112763,900,240,0.7154103535353535,900,377,0.5275851925485999
assignment_entropy,primary,17,-1,"[7, 27]",3600,0.4664167637049547,0,1800,654,0.41505422397275993,900,272,0.47199325590108654,900,382,0.4523363116295053
assignment_entropy,primary,27,1,"[7, 17]",3600,0.5677500769384347,0,1800,964,0.3991784381266255,900,575,0.5659451505016723,900,389,0.45031668335186315
assignment_entropy,sensitivity_gt_005,7,-1,"[17, 27]",3600,0.4416242705371839,0.05,1800,445,0.4489589120610307,900,153,0.7057073610345521,900,292,0.546542673035328
assignment_entropy,sensitivity_gt_005,17,-1,"[7, 27]",3600,0.47202687214295186,0.05,1800,502,0.4282553913774793,900,207,0.4894214749287213,900,295,0.46868468973245553
assignment_entropy,sensitivity_gt_005,27,1,"[7, 17]",3600,0.5743154628399799,0.05,1800,802,0.4029243024702772,900,490,0.5626580388252862,900,312,0.44447169893598465
assignment_probability_gap,primary,7,1,"[17, 27]",3600,0.5577194129115064,0,1800,617,0.46291123164330994,900,240,0.7037310606060606,900,377,0.511408878587622
assignment_probability_gap,primary,17,1,"[7, 27]",3600,0.5321210047872222,0,1800,654,0.43363567467751146,900,272,0.4991686961408767,900,382,0.4934807657320746
assignment_probability_gap,primary,27,-1,"[7, 17]",3600,0.43676066049154794,0,1800,964,0.40449855069586454,900,575,0.5688401337792642,900,389,0.46923970841990353
assignment_probability_gap,sensitivity_gt_005,7,1,"[17, 27]",3600,0.5559879411513221,0.05,1800,445,0.4471810605746507,900,153,0.6879456825121838,900,292,0.5516120674116799
assignment_probability_gap,sensitivity_gt_005,17,1,"[7, 27]",3600,0.5239004550146872,0.05,1800,502,0.43196858175924957,900,207,0.49773790353500497,900,295,0.47347247513657376
assignment_probability_gap,sensitivity_gt_005,27,-1,"[7, 17]",3600,0.42698051378149343,0.05,1800,802,0.41811178466659005,900,490,0.5804828272772523,900,312,0.49099511599511597
inner_loss_before,primary,7,-1,"[17, 27]",3600,0.4689523386622994,0,1800,617,0.6242199391432655,900,240,0.6007449494949495,900,377,0.573593479771366
inner_loss_before,primary,17,1,"[7, 27]",3600,0.5085119574040292,0,1800,654,0.4270965090649033,900,272,0.5719194923192207,900,382,0.41721077846732296
inner_loss_before,primary,27,-1,"[7, 17]",3600,0.4058548882002622,0,1800,964,0.41318817129583674,900,575,0.47637190635451504,900,389,0.573918774115978
inner_loss_before,sensitivity_gt_005,7,-1,"[17, 27]",3600,0.4993193016395545,0.05,1800,445,0.5912500518263609,900,153,0.5244507441530829,900,292,0.5290926910598414
inner_loss_before,sensitivity_gt_005,17,1,"[7, 27]",3600,0.5430859817919147,0.05,1800,502,0.46289725535454485,900,207,0.6224634195648688,900,295,0.4904160246533128
inner_loss_before,sensitivity_gt_005,27,-1,"[7, 17]",3600,0.4408688774955809,0.05,1800,802,0.3922445889284804,900,490,0.4447137879542061,900,312,0.5103076487005058
gradient_norm,primary,7,-1,"[17, 27]",3600,0.4828141156689563,0,1800,617,0.6380777930460015,900,240,0.6866540404040404,900,377,0.5449685805721937
gradient_norm,primary,17,-1,"[7, 27]",3600,0.4811278934875169,0,1800,654,0.5688393614806987,900,272,0.44470073061071563,900,382,0.5607905961309103
gradient_norm,primary,27,-1,"[7, 17]",3600,0.4033080655464791,0,1800,964,0.40867026345569696,900,575,0.5208026755852843,900,389,0.5266803837427495
gradient_norm,sensitivity_gt_005,7,1,"[17, 27]",3600,0.5120942530087002,0.05,1800,445,0.3772179609436544,900,153,0.34521528379312455,900,292,0.5286308129055516
gradient_norm,sensitivity_gt_005,17,1,"[7, 27]",3600,0.5078861601034153,0.05,1800,502,0.46525607892006704,900,207,0.5695951927835986,900,295,0.5354307325956016
gradient_norm,sensitivity_gt_005,27,-1,"[7, 17]",3600,0.4316258894415718,0.05,1800,802,0.38968585550152673,900,490,0.500024888003982,900,312,0.4538744985173557
chosen_eta,primary,7,1,"[17, 27]",3600,0.5061737653716577,0,1800,617,0.6041414638223016,900,240,0.6103125,900,377,0.4818304923137784
chosen_eta,primary,17,1,"[7, 27]",3600,0.5173895118449368,0,1800,654,0.5637898874425605,900,272,0.5133769670288497,900,382,0.4940796256241282
chosen_eta,primary,27,1,"[7, 17]",3600,0.5827840666666891,0,1800,964,0.42593969008715676,900,575,0.5630555183946488,900,389,0.4684247329949341
chosen_eta,sensitivity_gt_005,7,1,"[17, 27]",3600,0.5090990800218037,0.05,1800,445,0.6287715079397985,900,153,0.6783430016361743,900,292,0.46665465032444126
chosen_eta,sensitivity_gt_005,17,1,"[7, 27]",3600,0.5268709501187891,0.05,1800,502,0.5655690028790846,900,207,0.5484207150873818,900,295,0.48297520661157023
chosen_eta,sensitivity_gt_005,27,1,"[7, 17]",3600,0.5942011016597337,0.05,1800,802,0.4382268277202785,900,490,0.5847187655550025,900,312,0.4643156942264085
backtracking_trials,primary,7,-1,"[17, 27]",3600,0.49382623462834235,0,1800,617,0.6041414638223016,900,240,0.6103125,900,377,0.4818304923137784
backtracking_trials,primary,17,-1,"[7, 27]",3600,0.48261048815506324,0,1800,654,0.5637898874425605,900,272,0.5133769670288497,900,382,0.4940796256241282
backtracking_trials,primary,27,-1,"[7, 17]",3600,0.4172159333333108,0,1800,964,0.42593969008715676,900,575,0.5630555183946488,900,389,0.4684247329949341
backtracking_trials,sensitivity_gt_005,7,-1,"[17, 27]",3600,0.4909009199781963,0.05,1800,445,0.6287715079397985,900,153,0.6783430016361743,900,292,0.46665465032444126
backtracking_trials,sensitivity_gt_005,17,-1,"[7, 27]",3600,0.47312904988121085,0.05,1800,502,0.5655690028790846,900,207,0.5484207150873818,900,295,0.48297520661157023
backtracking_trials,sensitivity_gt_005,27,-1,"[7, 17]",3600,0.4057988983402663,0.05,1800,802,0.4382268277202785,900,490,0.5847187655550025,900,312,0.4643156942264085
normalized_update,primary,7,-1,"[17, 27]",3600,0.4965645693815414,0,1800,617,0.5391397033336941,900,240,0.5015782828282829,900,377,0.5574907060368919
normalized_update,primary,17,1,"[7, 27]",3600,0.5153636907318488,0,1800,654,0.46635151651002554,900,272,0.5477765548894717,900,382,0.4450514463603469
normalized_update,primary,27,-1,"[7, 17]",3600,0.46605064119866535,0,1800,964,0.45034520240624193,900,575,0.42976321070234114,900,389,0.5501033811418711
normalized_update,sensitivity_gt_005,7,1,"[17, 27]",3600,0.5573012414227999,0.05,1800,445,0.5340320908827065,900,153,0.6007822138226107,900,292,0.5090009913482336
normalized_update,sensitivity_gt_005,17,1,"[7, 27]",3600,0.5781055152851331,0.05,1800,502,0.5372930466117042,900,207,0.6036068065053573,900,295,0.53996358033338
normalized_update,sensitivity_gt_005,27,1,"[7, 17]",3600,0.539285485420064,0.05,1800,802,0.6011062024297973,900,490,0.6141114982578397,900,312,0.524370966335252
representation_shift,primary,7,-1,"[17, 27]",3600,0.4911549433155507,0,1800,617,0.5450239823759335,900,240,0.5100252525252525,900,377,0.5658286462005062
representation_shift,primary,17,1,"[7, 27]",3600,0.5070461231833321,0,1800,654,0.46507330376632455,900,272,0.5438132259273136,900,382,0.443196749479472
representation_shift,primary,27,-1,"[7, 17]",3600,0.4624221198928841,0,1800,964,0.45638686493676667,900,575,0.4252842809364549,900,389,0.5618048184164324
representation_shift,sensitivity_gt_005,7,1,"[17, 27]",3600,0.5514645368846326,0.05,1800,445,0.523318545545006,900,153,0.586406628693423,900,292,0.49466587058399425
