scope,group,count,quantity,mean,median,q25,q75
branch/P_C2_warm/overall,harm,1112,gradient_norm,5.911532474427129,4.284452676773071,1.9187228679656982,8.39763617515564
branch/P_C2_warm/overall,harm,1112,chosen_eta,0.0348724150879848,0.05000000074505806,0.02500000037252903,0.05000000074505806
branch/P_C2_warm/overall,harm,1112,backtracking_trials,1.7877697841726619,1.0,1.0,2.0
branch/P_C2_warm/overall,harm,1112,normalized_update,0.020231993553709148,0.016581756113106298,0.010630863708786815,0.026142283139865552
branch/P_C2_warm/overall,harm,1112,representation_shift,0.41865854095600596,0.34209470450878143,0.21453316882252693,0.5483618527650833
branch/P_C2_warm/overall,harm,1112,relative_inner_reduction,0.09240702151518651,0.07225696999761656,0.033916289284274516,0.1340488305641454
branch/P_C2_warm/overall,harm,1112,query_js,0.053378544965453856,0.02416185662150383,0.007419226691126823,0.06401130370795727
branch/P_C2_warm/overall,harm,1112,prediction_changed_fraction,0.27180755395683454,0.125,0.0,0.5
branch/P_C2_warm/overall,harm,1112,drift_W0,0.922899988010603,0.9491707957481711,0.5306291423395536,1.4752057940922476
branch/P_C2_warm/overall,harm,1112,drift_key,0.28000053486382925,0.31008705549194027,0.1744803130885556,0.4432238737239295
branch/P_C2_warm/overall,harm,1112,drift_query,0.3943759855377415,0.37016652364712327,0.19397689009078806,0.6861869236875672
branch/P_C2_warm/overall,harm,1112,drift_total,1.0425203413569304,1.0691890332590968,0.5913016998493953,1.6862775665358274
branch/P_C2_warm/overall,benefit,1888,query_entropy,0.816738030579241,0.8670938909053802,0.46726730465888977,1.1704494953155518
branch/P_C2_warm/overall,benefit,1888,query_max_probability,0.6529444452312033,0.6544857025146484,0.4738193303346634,0.826175183057785
branch/P_C2_warm/overall,benefit,1888,query_probability_gap,0.45107516438613443,0.43229833245277405,0.18766490370035172,0.6956824362277985
branch/P_C2_warm/overall,benefit,1888,assignment_entropy,1.2739111522244195,1.2946186661720276,1.195709079504013,1.3642634749412537
branch/P_C2_warm/overall,benefit,1888,assignment_probability_gap,0.13488153401975347,0.10249117761850357,0.049361852928996086,0.21273453161120415
branch/P_C2_warm/overall,benefit,1888,inner_loss_before,2.025980806325452,1.8595171570777893,1.6155278980731964,2.3330973386764526
branch/P_C2_warm/overall,benefit,1888,gradient_norm,6.913156411405337,5.48343563079834,2.2966495156288147,10.322023153305054
branch/P_C2_warm/overall,benefit,1888,chosen_eta,0.032112354821731706,0.02500000037252903,0.012500000186264515,0.05000000074505806
branch/P_C2_warm/overall,benefit,1888,backtracking_trials,1.9793432203389831,2.0,1.0,3.0
branch/P_C2_warm/overall,benefit,1888,normalized_update,0.020119445039040017,0.01762664943400863,0.012131134319839592,0.025512401866864407
branch/P_C2_warm/overall,benefit,1888,representation_shift,0.41942276007503715,0.3633704036474228,0.25296197831630707,0.5323150008916855
branch/P_C2_warm/overall,benefit,1888,relative_inner_reduction,0.11321226975948391,0.09735274256095779,0.0529719567124896,0.15926860417261918
branch/P_C2_warm/overall,benefit,1888,query_js,0.06905323388746838,0.037317655980587006,0.010680414270609617,0.09885272569954395
branch/P_C2_warm/overall,benefit,1888,prediction_changed_fraction,0.3454051906779661,0.25,0.0,0.625
branch/P_C2_warm/overall,benefit,1888,drift_W0,0.9407236707798685,0.9491707957481711,0.5306291423395536,1.4752057940922476
branch/P_C2_warm/overall,benefit,1888,drift_key,0.2835538238147887,0.31008705549194027,0.1744803130885556,0.4432238737239295
branch/P_C2_warm/overall,benefit,1888,drift_query,0.40395367011165695,0.37016652364712327,0.19397689009078806,0.6861869236875672
branch/P_C2_warm/overall,benefit,1888,drift_total,1.0629079927157057,1.0691890332590968,0.5913016998493953,1.6862775665358274
branch/P_C2_warm/easy,harm,521,query_entropy,0.35332852684590615,0.321405827999115,0.2071956992149353,0.47541344165802
branch/P_C2_warm/easy,harm,521,query_max_probability,0.8851907631943642,0.9126662015914917,0.851372241973877,0.9494935274124146
branch/P_C2_warm/easy,harm,521,query_probability_gap,0.8031407817769188,0.8500598073005676,0.7418037056922913,0.9154360294342041
branch/P_C2_warm/easy,harm,521,assignment_entropy,1.1835841089201065,1.1825547218322754,1.1425960063934326,1.2306920289993286
branch/P_C2_warm/easy,harm,521,assignment_probability_gap,0.2258005401623684,0.22851534187793732,0.1689433753490448,0.2709820866584778
branch/P_C2_warm/easy,harm,521,inner_loss_before,2.357212125683014,2.279583692550659,2.0199499130249023,2.60349178314209
branch/P_C2_warm/easy,harm,521,gradient_norm,9.979970696791577,8.619773864746094,6.862431049346924,12.406115531921387
branch/P_C2_warm/easy,harm,521,chosen_eta,0.020807341960725336,0.02500000037252903,0.012500000186264515,0.02500000037252903
branch/P_C2_warm/easy,harm,521,backtracking_trials,2.5566218809980805,2.0,2.0,3.0
branch/P_C2_warm/easy,harm,521,normalized_update,0.025675343819863108,0.022680074605495384,0.014848005276811429,0.0319880183308423
branch/P_C2_warm/easy,harm,521,representation_shift,0.532948844492321,0.4655578136444092,0.2945624589920044,0.6616940498352051
