state_id,seed,branch,step,regime,count,mean_delta_nll,sign,before_accuracy,after_accuracy,before_nll,after_nll,delta_accuracy
seed7_P_C2_warm_step100,7,P_C2_warm,100,hard,100,-0.13688838839530945,benefit,0.375,0.4675,1.3636071813106536,1.2267187929153442,0.0925
seed7_P_C2_warm_step200,7,P_C2_warm,200,easy,100,-0.5663293373771012,benefit,0.62,0.93,0.8597560779936612,0.29342674061656,0.31
seed7_P_C2_warm_step200,7,P_C2_warm,200,hard,100,-0.11492487847805023,benefit,0.385,0.45625,1.35629802942276,1.2413731509447097,0.07125
seed7_P_C2_warm_step400,7,P_C2_warm,400,easy,100,-0.4151291643641889,benefit,0.68,0.8975,0.7419018422998488,0.3267726779356599,0.2175
seed7_P_C2_warm_step400,7,P_C2_warm,400,hard,100,-0.08901211380958557,benefit,0.38,0.445,1.3297561180591584,1.2407440042495728,0.065
seed7_P_C2_warm_step50,7,P_C2_warm,50,easy,100,-0.3872363805770874,benefit,0.68625,0.93625,0.682934296540916,0.29569791596382855,0.25
seed7_P_C2_warm_step50,7,P_C2_warm,50,hard,100,-0.14553287804126738,benefit,0.36375,0.46375,1.374547131061554,1.2290142530202866,0.1
seed7_P_O0_resume_step0,7,P_O0_resume,0,easy,100,-0.3488419276289642,benefit,0.71875,0.90375,0.618635843731463,0.26979391610249875,0.185
seed7_P_O0_resume_step0,7,P_O0_resume,0,hard,100,-0.08019839942455292,benefit,0.41125,0.48625,1.316600942015648,1.236402542591095,0.075
seed7_P_O0_resume_step100,7,P_O0_resume,100,easy,100,-0.2365078324219212,benefit,0.775,0.89125,0.5239546534745023,0.28744682105258107,0.11625
seed7_P_O0_resume_step100,7,P_O0_resume,100,hard,100,-0.07090596973896027,benefit,0.44,0.4875,1.2721994984149934,1.2012935286760331,0.0475
seed7_P_O0_resume_step200,7,P_O0_resume,200,easy,100,-0.002473405338823795,benefit,0.83,0.8375,0.4005457465071231,0.3980723411682993,0.0075
seed7_P_O0_resume_step200,7,P_O0_resume,200,hard,100,-0.06729387730360031,benefit,0.42625,0.4825,1.2741164025664329,1.2068225252628326,0.05625
seed7_P_O0_resume_step400,7,P_O0_resume,400,easy,100,0.3651635338179767,harm,0.86375,0.75375,0.3358395268209279,0.7010030606389046,-0.11
seed7_P_O0_resume_step400,7,P_O0_resume,400,hard,100,-0.028612228631973265,benefit,0.415,0.4675,1.2431567847728728,1.2145445561408996,0.0525
seed7_P_O0_resume_step50,7,P_O0_resume,50,easy,100,-0.3100573532609269,benefit,0.74,0.88375,0.6017902340507135,0.2917328807897866,0.14375
seed7_P_O0_resume_step50,7,P_O0_resume,50,hard,100,-0.07544492542743683,benefit,0.41375,0.4875,1.2978034430742265,1.2223585176467895,0.07375
seed7_original_P,7,original_P,0,easy,100,-0.3488419276289642,benefit,0.71875,0.90375,0.618635843731463,0.26979391610249875,0.185
seed7_original_P,7,original_P,0,hard,100,-0.08019839942455292,benefit,0.41125,0.48625,1.316600942015648,1.236402542591095,0.075
