scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
state/seed17_P_O0_resume_step0/hard,backtracking_trials,100,45,38,0.03477250558940255,0.49616161616161614,0.4673174872665535
state/seed17_P_O0_resume_step0/hard,normalized_update,100,45,38,-0.09009300930093009,0.47919191919191917,0.5437181663837012
state/seed17_P_O0_resume_step0/hard,representation_shift,100,45,38,-0.08087608760876087,0.48404040404040405,0.5488115449915111
state/seed17_P_O0_resume_step0/hard,relative_inner_reduction,100,45,38,-0.13047704770477048,0.4618181818181818,0.517402376910017
state/seed17_P_O0_resume_step0/hard,query_js,100,45,38,-0.1143954395439544,0.46585858585858586,0.5216468590831919
state/seed17_P_O0_resume_step0/hard,prediction_changed_fraction,100,45,38,-0.008264298413260587,0.5066666666666667,0.5602716468590832
state/seed17_P_O0_resume_step100/easy,query_entropy,100,44,31,-0.32076807680768077,0.2637987012987013,0.36792893875642824
state/seed17_P_O0_resume_step100/easy,query_max_probability,100,44,31,0.34095409540954097,0.7625811688311688,0.6521739130434783
state/seed17_P_O0_resume_step100/easy,query_probability_gap,100,44,31,0.3471347134713471,0.765827922077922,0.6549789621318373
state/seed17_P_O0_resume_step100/easy,assignment_entropy,100,44,31,0.205988598859886,0.6440746753246753,0.6255259467040674
state/seed17_P_O0_resume_step100/easy,assignment_probability_gap,100,44,31,-0.18875487548754877,0.35430194805194803,0.3810191678354371
state/seed17_P_O0_resume_step100/easy,inner_loss_before,100,44,31,-0.006468646864686469,0.48133116883116883,0.5670874240299205
state/seed17_P_O0_resume_step100/easy,gradient_norm,100,44,31,0.32361236123612364,0.6339285714285714,0.6334735857877513
state/seed17_P_O0_resume_step100/easy,chosen_eta,100,44,31,-0.22151127328670236,0.3979301948051948,0.47148200093501635
state/seed17_P_O0_resume_step100/easy,backtracking_trials,100,44,31,0.22151127328670236,0.6020698051948052,0.5285179990649836
state/seed17_P_O0_resume_step100/easy,normalized_update,100,44,31,-0.10172217221722173,0.43790584415584416,0.5081813931743806
state/seed17_P_O0_resume_step100/easy,representation_shift,100,44,31,-0.0944974497449745,0.4431818181818182,0.5091164095371669
state/seed17_P_O0_resume_step100/easy,relative_inner_reduction,100,44,31,-0.04022802280228023,0.53125,0.46049555867227676
state/seed17_P_O0_resume_step100/easy,query_js,100,44,31,-0.1564116411641164,0.37256493506493504,0.5731650303880318
state/seed17_P_O0_resume_step100/easy,prediction_changed_fraction,100,44,31,-0.27753627222521804,0.34131493506493504,0.4672744273024778
state/seed17_P_O0_resume_step100/hard,query_entropy,100,44,36,0.1770897089708971,0.5349025974025974,0.5208333333333334
state/seed17_P_O0_resume_step100/hard,query_max_probability,100,44,36,-0.16187218721872187,0.4772727272727273,0.4943576388888889
state/seed17_P_O0_resume_step100/hard,query_probability_gap,100,44,36,-0.1394899489948995,0.48863636363636365,0.51171875
state/seed17_P_O0_resume_step100/hard,assignment_entropy,100,44,36,0.21626162616261627,0.5905032467532467,0.5815972222222222
state/seed17_P_O0_resume_step100/hard,assignment_probability_gap,100,44,36,-0.09771377137713771,0.48214285714285715,0.4539930555555556
state/seed17_P_O0_resume_step100/hard,inner_loss_before,100,44,36,-0.21026102610261027,0.40868506493506496,0.4856770833333333
state/seed17_P_O0_resume_step100/hard,gradient_norm,100,44,36,-0.13792979297929792,0.4346590909090909,0.5225694444444444
